==38058== NVPROF is profiling process 38058, command: ./0123HomeWork 8 256
==38058== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==38058== Profiling application: ./0123HomeWork 8 256
==38058== Profiling result:
==38058== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "Tesla V100-PCIE-16GB (0)"
    Kernel: find_hash(int, int)
          1                     fb_subp0_read_sectors         699         699         699         699
          1                     fb_subp1_read_sectors          16          16          16          16
          1                    fb_subp0_write_sectors       19623       19623       19623       19623
          1                    fb_subp1_write_sectors         153         153         153         153
          1              l2_subp0_write_sector_misses       20236       20236       20236       20236
          1              l2_subp1_write_sector_misses       19678       19678       19678       19678
          1               l2_subp0_read_sector_misses         806         806         806         806
          1               l2_subp1_read_sector_misses         773         773         773         773
          1          l2_subp0_read_tex_sector_queries     4771136     4771136     4771136     4771136
          1          l2_subp1_read_tex_sector_queries     4784066     4784066     4784066     4784066
          1         l2_subp0_write_tex_sector_queries   144360344   144360344   144360344   144360344
          1         l2_subp1_write_tex_sector_queries   144625961   144625961   144625961   144625961
          1             l2_subp0_read_tex_hit_sectors     5336182     5336182     5336182     5336182
          1             l2_subp1_read_tex_hit_sectors     5365615     5365615     5365615     5365615
          1            l2_subp0_write_tex_hit_sectors   163797792   163797792   163797792   163797792
          1            l2_subp1_write_tex_hit_sectors   164113409   164113409   164113409   164113409
          1        l2_subp0_total_read_sector_queries     4758452     4758452     4758452     4758452
          1        l2_subp1_total_read_sector_queries     4785883     4785883     4785883     4785883
          1       l2_subp0_total_write_sector_queries   164354592   164354592   164354592   164354592
          1       l2_subp1_total_write_sector_queries   164662674   164662674   164662674   164662674
          1                         elapsed_cycles_sm  4936215958  4936215958  4936215958  4936215958
          1                              generic_load    10085244    10085244    10085244    10085244
          1                             generic_store    65941980    65941980    65941980    65941980
          1                               global_load      194011      194011      194011      194011
          1                              global_store          33          33          33          33
          1                                local_load    21932064    21932064    21932064    21932064
          1                               local_store    14396224    14396224    14396224    14396224
