blocks,threads,blocks_times_threads,total_time,inst_per_warp,global_hit_rate,local_hit_rate,tex_cache_hit_rate,gld_efficiency,gst_efficiency,stall_inst_fetch,stall_exec_dependency,stall_memory_dependency,ipc,sm_efficiency,l2_subp0_write_sector_misses,l2_subp1_write_sector_misses,l2_subp0_read_sector_misses,l2_subp1_read_sector_misses,l2_subp0_read_tex_sector_queries,l2_subp1_read_tex_sector_queries,l2_subp0_write_tex_sector_queries,l2_subp1_write_tex_sector_queries,l2_subp0_read_tex_hit_sectors,l2_subp1_read_tex_hit_sectors,l2_subp0_write_tex_hit_sectors,l2_subp1_write_tex_hit_sectors,l2_subp0_total_read_sector_queries,l2_subp1_total_read_sector_queries,l2_subp0_total_write_sector_queries,l2_subp1_total_write_sector_queries,elapsed_cycles_sm,generic_load,generic_store,global_load,global_store,local_load,local_store
16,4,64,122.09279999999998,5995925.0,0.0,0.0,0.0075,12.48,3.79,7.165,27.8675,53.3275,0.9699964999999999,99.9725,265.1,84.0,81944.4,19700.0,1199489.7,1195072.1,2082068.5,1956950.5,1199078.6,1176798.6,2078146.5,4118.2,1274222.4,1195376.7,2082237.4,1957105.4,51576441.4,929063.2,571731.2,17882.6,33.0,1143692.8,1751822.6
2,32,64,72.90201,2627314.7,75.0,50.001999999999995,50.013999999999996,12.495999999999999,3.79,16.715,26.705000000000002,48.73100000000001,0.1316329,99.78099999999999,46.7,0.0,68032.4,0.0,465838.8,356108.5,642153.0,752324.8,382347.6,437842.8,802717.0,592936.0,431016.9,439617.3,643050.4,753265.4,32504865.4,80256.8,49388.8,1545.4,33.0,98726.4,151199.8
80,8,640,31.707730000000005,221372.2,50.0,50.001999999999995,50.246,12.324999999999998,3.79,9.409,25.475,48.257,1.8310914,99.765,185475.5,170905.4,29807.8,9698.4,461134.5,461541.5,786003.1,761541.7,451886.2,448925.7,790249.7,3134404.9,474874.7,458952.2,786162.7,761592.9,10034349.6,357515.6,220009.6,6955.3,33.0,440672.0,677690.0
16,32,512,22.49235,302414.0,75.0,50.0,50.144,12.477,3.79,7.077,29.038999999999998,50.129000000000005,0.9242016,99.736,60.0,18.4,11673.1,2112.9,479647.4,473005.5,833849.0,783728.8,476217.4,467875.8,831045.0,15735.6,490425.7,473552.1,833700.8,783545.4,5482791.0,92539.2,56947.2,1795.6,33.0,114419.2,175747.4
4,8,32,167.84,5362967.8,50.0,50.004999999999995,50.009,12.503,3.79,14.132,28.155,49.679,0.27461209999999997,99.79299999999999,47.2,7.8,152606.9,9387.7,624761.9,593026.7,1160369.2,896570.0,606964.3,602304.3,1021825.9,1282.4,810577.5,532183.9,1140986.6,913745.2,94581130.0,472752.8,290924.8,9095.4,33.0,581657.6,890762.2
16,1,16,147.847,4048975.0,0.0,0.0,0.005,12.5225,3.79,6.7825,26.8125,54.79,0.9510845,99.97250000000001,742.2,553.6,284336.7,65449.5,4270445.8,4254589.2,7412078.0,6966689.6,4270158.4,4190698.8,7412596.9,3842.1,4496387.0,4254911.9,7411971.5,6966600.1,182688145.8,3308318.0,2035888.0,63637.5,33.0,4071680.0,6235303.0
2,16,32,86.28857,4490426.0,50.0,50.0,50.013,12.512,3.79,16.758000000000003,27.05,48.242,0.13328289999999998,99.976,45.5,0.0,163641.2,0.0,659146.2,506156.6,909733.0,1066637.2,540894.0,619404.0,1136889.0,839616.8,654740.3,625156.8,908053.2,1064324.2,90396625.0,226106.4,139142.4,4350.2,33.0,279353.6,427785.2
1,2,2,1115.2199999999998,78096220.0,0.0,0.004,0.001,12.5,3.79,16.128,27.384999999999998,48.48899999999999,0.13463630000000001,49.999,47.9,0.0,1556480.9,0.0,2456031.0,1709902.0,3482034.4,3544157.7,1927471.0,2207272.0,4041615.3,2984576.8,3345900.1,2238698.0,3482050.3,3544174.5,1291173575.4,1616628.0,994848.0,31090.0,33.0,1989728.0,3046759.0
1,128,128,49.963081,1065918.0,75.0,50.0,50.029999999999994,12.5,3.79,10.669,30.091999999999995,50.053,0.5235113,49.980000000000004,44.3,0.0,32129.4,0.0,331845.2,318424.8,590809.0,512696.0,331841.8,317204.2,590809.0,512696.0,356027.3,318715.9,590820.8,512714.2,13024219.6,63440.0,39040.0,1224.0,33.0,78112.0,119708.0
8,32,256,19.475550000000005,535377.62,75.0,50.006,50.017999999999994,12.495999999999999,3.79,11.437000000000001,28.716,50.34,0.5059190000000001,99.561,48.4,7.3,25041.6,2515.2,594341.0,574595.3,1052490.6,929661.6,594479.0,572522.2,1051513.0,8144.8,617819.1,575221.9,1053507.2,930573.4,11880064.2,113994.4,70150.4,2200.2,33.0,140390.4,215219.8
32,8,256,55.54933,675908.0,50.0,50.001999999999995,49.967000000000006,12.363000000000001,3.79,9.347,25.266,48.987,1.8342144999999999,99.792,187150.9,172442.7,30563.4,9741.3,463312.4,463576.8,794961.4,770379.0,463629.8,460545.9,801024.1,487960.9,486107.5,467253.3,796317.0,771584.6,10012503.0,359985.6,221529.6,6954.8,33.0,442707.2,679030.4
1,32,32,69.7873,4460129.0,75.0,50.001,50.029999999999994,12.5,3.79,15.871,26.733000000000004,49.585,0.1319568,49.995000000000005,46.7,0.0,133950.0,0.0,550914.4,378324.8,781192.2,795022.4,432369.2,495125.6,906633.0,669581.6,536371.9,497161.6,781206.4,795038.2,72847960.4,90656.8,55788.8,1744.4,33.0,111609.6,170890.2
80,256,20480,16.03777,5871.8596875,75.0,50.004,50.824,12.323000000000002,3.79,6.131000000000001,29.778000000000002,38.066,1.2239852,99.625,204455.8,187308.4,13357.9,4294.9,506357.8,501231.8,917513.0,889506.4,501976.8,498336.0,917123.0,2896450.8,515120.5,502951.9,922218.8,894503.4,3488384.8,98633.6,60697.6,2536.8,33.0,120940.8,208821.6
4,256,1024,8.578289999999999,143412.4,75.0,50.0,50.18300000000001,12.422,3.79,7.525,24.923,50.29299999999999,1.5632698999999999,99.48300000000002,183003.5,167081.3,11376.8,3330.4,455403.2,450361.7,781073.0,757060.8,448361.4,444997.0,780249.8,25480.8,461989.2,450890.8,782648.8,758498.3,2979414.8,88394.8,54396.8,1731.9,33.0,108787.2,167715.4
80,4,320,73.28515000000002,485110.0,0.0,0.0,0.2742857142857143,12.577142857142858,3.7899999999999996,9.481428571428571,24.998571428571427,49.98714285714285,1.8612985714285715,99.95857142857143,398366.3,366851.0,123399.4,37158.8,984431.3,985119.7,1703499.2,1650802.6,962863.7,965421.4,1696915.5,7706.3,1025307.7,991176.9,1686993.4,1634568.4,22438616.6,766958.4,471974.4,14829.2,33.0,940672.0,1443315.0
2,4,8,279.79419999999993,13344455.0,0.0,0.024999999999999998,0.037500000000000006,12.487499999999999,3.7899999999999996,17.0425,27.44875,47.45624999999999,0.135016625,99.96,44.3,0.0,495161.6,0.0,1102876.4,854067.6,1519471.8,1781003.6,905546.2,1037010.1,1899050.0,1402397.2,1252196.6,1051957.7,1519746.0,1780986.1,300684060.4,760572.8,468044.8,14628.4,33.0,934688.0,1431266.0
16,2,32,246.32229999999998,4194563.166666667,0.0,0.013333333333333334,0.023333333333333334,12.433333333333332,3.7899999999999996,7.428333333333334,27.853333333333335,52.968333333333334,0.9655713333333334,99.45666666666666,470.9,207.3,150556.4,36140.9,2303329.6,2294808.6,3997867.4,3757631.2,2302915.0,2260097.7,3999012.9,3999.9,2439584.5,2294972.4,3997927.3,3757714.3,98889606.2,1784276.0,1098016.0,34329.0,33.0,2196147.2,3363393.4
32,64,2048,10.60472,90276.4,75.0,50.0,50.138,12.440000000000001,3.79,7.896000000000001,23.740999999999996,52.83200000000001,1.5752019000000002,99.706,273825.5,250864.3,16496.0,4763.0,679546.8,672211.2,1163707.0,1128217.2,673178.4,668300.8,1169692.2,1515394.4,690107.3,673991.6,1175568.8,1139618.2,4355753.4,131669.2,81027.2,2596.1,33.0,162336.0,250896.0
4,4,16,191.8145,10723065.0,0.0,0.011666666666666665,0.021666666666666667,12.520000000000001,3.7899999999999996,14.031666666666666,28.21666666666667,49.779999999999994,0.27493149999999994,99.94166666666666,44.8,10.2,168226.7,12990.3,846303.6,803286.6,1569122.9,1212349.7,821357.7,815103.0,1384748.4,1161.4,1084900.0,719922.1,1543989.8,1236473.2,127576574.0,639776.8,393708.8,12307.4,33.0,787891.2,1206557.4
