program,size,time
omp,30,2118.9108000000006
omp,31,795.2991
omp,32,828.7951
omp,33,378.1023
omp,34,333.35089999999997
omp,35,68.20579999999998
omp,36,25.434
omp,37,16.422199999999997
omp,38,17.4023
omp,39,5.4937
omp,40,3.2178999999999993
omp,41,1.8599
omp,42,0.5397000000000001
omp,43,0.42469999999999997
omp,44,0.22820000000000001
omp,45,0.1414
omp,46,0.1222
omp,47,0.0794
omp,48,0.0794
cu,30,94.8749
cu,31,22.4602
cu,32,13.2426
cu,33,6.2113
cu,34,3.9653000000000005
cu,35,2.7241
cu,36,1.8794000000000004
cu,37,1.7131
cu,38,1.5390000000000001
cu,39,1.5117
cu,40,1.4903
cu,41,1.3867
cu,42,1.4386999999999999
cu,43,1.4426
cu,44,1.4444
cu,45,1.4441
cu,46,1.4311
cu,47,1.4432
cu,48,1.4068
