blocks,threads,blocks_times_threads,total_time,inst_per_warp,global_hit_rate,local_hit_rate,tex_cache_hit_rate,l2_tex_read_hit_rate,l2_tex_write_hit_rate,gld_efficiency,gst_efficiency,stall_inst_fetch,stall_exec_dependency,stall_memory_dependency,ipc,sm_efficiency,fb_subp0_read_sectors,fb_subp1_read_sectors,fb_subp0_write_sectors,fb_subp1_write_sectors,l2_subp0_write_sector_misses,l2_subp1_write_sector_misses,l2_subp0_read_sector_misses,l2_subp1_read_sector_misses,l2_subp0_read_tex_sector_queries,l2_subp1_read_tex_sector_queries,l2_subp0_write_tex_sector_queries,l2_subp1_write_tex_sector_queries,l2_subp0_read_tex_hit_sectors,l2_subp1_read_tex_hit_sectors,l2_subp0_write_tex_hit_sectors,l2_subp1_write_tex_hit_sectors,l2_subp0_total_read_sector_queries,l2_subp1_total_read_sector_queries,l2_subp0_total_write_sector_queries,l2_subp1_total_write_sector_queries,elapsed_cycles_sm,generic_load,generic_store,global_load,global_store,local_load,local_store
16,4,64,10.066024,2932044.0,0.645,98.778,28.751000000000005,99.962,99.84299999999999,12.556999999999999,3.79,18.031999999999996,63.99400000000001,17.729000000000003,0.24257239999999997,19.937,653.6,537.5,6072.9,4544.0,6443.0,6479.1,682.7,664.6,41605.1,54377.3,2540231.8,2514713.2,42098.7,53341.5,2549470.9,2510545.5,44564.8,57214.6,2545602.1,2516981.6,723830679.8,619330.4,4049468.0,11926.2,33.0,1529657.6,1004648.8
2,32,64,15.033104,2867780.0,6.118,98.775,28.732,99.83600000000001,99.877,12.504999999999999,3.79,17.842000000000002,62.032999999999994,17.481,0.23721469999999995,2.495,74.6,27.6,223.0,147.9,209.5,199.0,85.0,84.4,20745.8,27948.8,1457065.6,1378077.8,21001.0,27654.4,1446894.4,1391358.2,22740.4,28197.2,1434014.3,1400475.3,829164516.8,86944.0,568480.0,1674.0,33.0,214176.0,140636.0
80,8,640,0.7649584999999999,154293.3,2.1550000000000002,97.63700000000001,28.715999999999998,96.576,99.62499999999999,12.495999999999999,3.79,17.919000000000004,62.95,18.537999999999997,0.23855940000000003,94.97900000000001,45.3,52.1,19260.6,23765.6,20070.6,20583.3,63.3,64.1,30658.0,39629.8,1821621.8,1811756.8,30567.5,39498.7,1823766.8,1809176.8,33273.7,42690.8,1828954.9,1822295.7,103247023.0,445421.6,2912372.0,8645.8,33.0,1096147.2,723485.6
16,32,512,1.2385670000000002,200473.8,5.636999999999999,98.38499999999999,28.506,101.745,99.45700000000001,12.484,3.79,18.556,60.899,17.834,0.2333415,19.471,17.8,45.7,4884.3,4211.0,5314.3,5221.2,30.2,30.0,18508.0,19851.3,1086575.2,1068670.6,18155.2,20016.9,1083816.4,1069190.2,21148.8,22832.4,1083577.0,1077047.3,79905923.8,65915.2,430984.0,1283.6,33.0,162860.8,107688.4
4,8,32,15.39782,6929522.0,0.78,98.82299999999998,28.651,100.039,100.042,12.56,3.79,18.144,63.894000000000005,17.731,0.24258150000000006,4.994000000000001,1.6,50.0,216.3,428.8,238.5,246.4,0.8,0.8,30270.8,38549.0,1868003.6,1775839.0,31143.4,37822.6,1847159.4,1806853.0,34309.0,40429.7,1858814.1,1784741.5,2094286960.4,447995.6,2929202.0,8619.3,33.0,1099475.2,721717.6
16,1,16,48.80434,21246470.0,0.064,98.83800000000001,28.658000000000005,99.777,99.821,12.437999999999999,3.79,17.961999999999996,64.095,17.710999999999995,0.2430555,19.994,601.7,427.5,4996.1,3635.9,5218.2,5027.6,658.6,662.2,165115.4,216178.9,10218635.0,10046207.6,169494.6,212561.6,10136221.7,10074148.5,166050.6,224049.8,10158978.9,10084814.3,2894945575.6,2480420.8,16218136.0,47716.4,33.0,6095699.2,4001113.6
2,16,32,29.9851,8030025.0,2.7009999999999996,98.80600000000001,28.75400000000001,100.00399999999999,99.993,12.443,3.79,18.169,63.791,17.807,0.2422771,2.498,74.0,128.8,130.2,200.5,128.5,119.6,92.0,90.8,26281.8,32402.3,1703561.2,1606339.0,25401.8,33240.0,1706789.4,1605133.8,27782.0,34522.8,1701240.6,1609544.2,1897578073.2,203080.8,1327836.0,3907.4,33.0,499987.2,328199.6
1,2,2,403.90194999999994,80912771.0,2.3559999999999994,98.82000000000002,28.705000000000002,99.569,100.0,12.5,3.79,15.571000000000002,66.129,18.065999999999995,0.24857140000000003,1.25,139.0,34.8,185.3,188.5,178.3,179.6,132.6,137.4,215722.6,283305.8,13273115.8,13173969.2,216829.9,282180.9,13442523.9,13004490.4,238663.5,304302.3,12922486.3,13524651.1,58967500000.0,3243500.0,21207500.0,62376.0,33.0,7984032.0,5239552.0
1,128,128,4.4097373,660151.0,4.2250000000000005,98.77900000000001,28.723000000000003,100.093,99.99300000000001,12.5,3.79,9.684999999999999,43.292,12.953,0.7114608999999998,1.25,72.8,30.8,4.1,106.0,7.0,5.7,86.4,84.0,33862.6,36298.6,2043756.8,2043789.8,33837.6,36253.6,2043595.2,2043628.2,34441.6,36873.0,2043773.9,2043793.7,796685545.2,125299.2,819264.0,2413.6,33.0,308460.8,202614.4
8,32,256,2.163899,485298.0,4.108,98.626,28.660000000000004,99.73900000000002,100.014,12.451,3.79,18.558,61.31700000000001,17.5,0.23483230000000002,9.91,14.8,68.0,744.2,895.4,938.4,919.7,17.2,16.0,27052.0,29825.5,1666795.2,1626159.4,28112.0,28903.4,1647331.6,1646647.8,31015.0,32522.8,1664579.9,1631664.8,243208825.2,100895.6,659702.0,1948.3,33.0,248441.6,163434.8
